Year,Number of IT,Specific wobh,Total MIT,Length TIP1,Length TIP2,Heat loss
1995,75.3,70,690.5,202722.6,25999.9,4.9
2000,67.9,70,664.9,186586.1,30273.1,7.2
2004,67,72,657.2,179031.3,34566.6,8.9
2005,64.9,72,623.2,177174.9,44669.3,9.1
2006,66,73,620,174604.1,44179.7,9.3
2007,70.2,75,602.6,173073.7,44830.2,9.2
2008,72.1,76,590.7,172019,45020.6,9.6
2009,73.1,76,590.7,171051.8,45922.8,10.1
2010,73.1,76,581.8,171275.9,47998.9,10.6
2011,73.9,77,578.9,169913.2,48578,10.7
2012,73.5,77,579.4,169524.7,49106.5,10.8
2013,73.9,77,567.3,168336.6,48119.2,10.9
2014,75.2,77,590.3,171270.1,48988.9,11.4
2015,76,77,609.2,171448.4,49852.6,11.1
2016,73.8,77,592.4,171541.8,49479,11.8
2017,74.9,78,587.9,169456,49562.4,11.2
