"","Число источников теплоснабжения (на конец года), тыс ","Удельный вес котельных мощностью до 3 гигакал/ч в общем числе котельных, процентов","Суммарная мощность источников теплоснабжения, тыс  гигакал/ч","Протяженность тепловых и паровых сетей в двухтрубном исчислении - всего, км","Протяженность тепловых и паровых сетей в двухтрубном исчислении, нуждающихся в замене - всего, км","Число аварий на источниках теплоснабжения, паровых и тепловых сетях - всего","Потери тепла в сетях, в процентах от подачи тепла"
"1995","75.3","70.0","690.5","202722.6","25999.9","...","4.9"
"2000","67.9","70.0","664.9","186586.1","30273.1","...","7.2"
"2004","67","72.0","657.2","179031.3","34566.6","34519","8.9"
"2005","64.9","72.0","623.2","177174.9","44669.3","27605","9.1"
"2006","66","73.0","620.0","174604.1","44179.7","22038","9.3"
"2007","70.2","75.0","602.6","173073.7","44830.2","20107","9.2"
"2008","72.1","76.0","590.7","172019.0","45020.6","17045","9.6"
"2009","73.1","76.0","590.7","171051.8","45922.8","12943","10.1"
"2010","73.1","76.0","581.8","171275.9","47998.9","14584","10.6"
"2011","73.9","77.0","578.9","169913.2","48578.0","10660","10.7"
"2012","73.5","77.0","579.4","169524.7","49106.5","9397","10.8"
"2013","73.9","77.0","567.3","168336.6","48119.2","8082","10.9"
"2014","75.2","77.0","590.3","171270.1","48988.9","6782","11.4"
"2015","76","77.0","609.2","171448.4","49852.6","5799","11.1"
"2016","73.8","77.0","592.4","171541.8","49479.0","5738","11.8"
"2017","74.9","78.0","587.9","169456.0","49562.4","5055","11.2"
"2018","74.8","77.0","582.1","168342.1","48700.7","4312","12.5"
"2019","76.7","77.0","582.9","168306.0","51577.3","4803","11.8"
"2020","77.3","77.0","570.7","167393.9","51506.4","4416","12.3"
"2021","77.1","77.0","569.7","166745.7","50358.6","4769","12.5"
"2022","74.8","76.0","570.9","167220.0","50596.5","4203","12.1"
